symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,price-binned,fuel-type_diesel,fuel-type_gas
0,3,122.0,alfa-romero,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27,13495,Low,0,1
1,3,122.0,alfa-romero,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27,16500,Low,0,1
2,1,122.0,alfa-romero,std,two,hatchback,rwd,front,94.5,0.4492537313432835,0.9097222222222222,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,12.368421052631579,26,16500,Low,0,1
3,2,164.0,audi,std,four,sedan,fwd,front,99.8,0.5298507462686567,0.9194444444444445,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,30,13950,Low,0,1
4,2,164.0,audi,std,four,sedan,4wd,front,99.4,0.5298507462686567,0.9222222222222223,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,22,17450,Low,0,1
5,2,122.0,audi,std,two,sedan,fwd,front,99.8,0.5402985074626868,0.9208333333333333,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,15250,Low,0,1
6,1,158.0,audi,std,four,sedan,fwd,front,105.8,0.7701492537313432,0.9916666666666667,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,17710,Low,0,1
7,1,122.0,audi,std,four,wagon,fwd,front,105.8,0.7701492537313432,0.9916666666666667,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,18920,Medium,0,1
8,1,158.0,audi,turbo,four,sedan,fwd,front,105.8,0.7701492537313432,0.9916666666666667,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,13.823529411764707,20,23875,Medium,0,1
9,2,192.0,bmw,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29,16430,Low,0,1
10,0,192.0,bmw,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29,16925,Low,0,1
11,0,188.0,bmw,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.8999999999999999,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28,20970,Medium,0,1
12,0,188.0,bmw,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.8999999999999999,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28,21105,Medium,0,1
13,1,122.0,bmw,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.9291666666666667,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.75,25,24565,Medium,0,1
14,0,122.0,bmw,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.9291666666666667,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,22,30760,Medium,0,1
15,0,122.0,bmw,std,two,sedan,rwd,front,103.5,0.7865671641791048,0.9430555555555556,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,22,41315,High,0,1
16,0,122.0,bmw,std,four,sedan,rwd,front,110.0,0.8343283582089553,0.9847222222222223,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.666666666666666,20,36880,High,0,1
17,2,121.0,chevrolet,std,two,hatchback,fwd,front,88.4,0.0,0.8374999999999999,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,5.0,53,5151,Low,0,1
18,1,98.0,chevrolet,std,two,hatchback,fwd,front,94.5,0.22089552238805987,0.8833333333333333,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43,6295,Low,0,1
19,0,81.0,chevrolet,std,four,sedan,fwd,front,94.5,0.26417910447761217,0.8833333333333333,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43,6575,Low,0,1
20,1,118.0,dodge,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,6.351351351351352,41,5572,Low,0,1
21,1,118.0,dodge,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6377,Low,0,1
22,1,118.0,dodge,turbo,two,hatchback,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30,7957,Low,0,1
23,1,148.0,dodge,std,four,hatchback,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6229,Low,0,1
24,1,148.0,dodge,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6692,Low,0,1
25,1,148.0,dodge,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,7609,Low,0,1
26,1,148.0,dodge,turbo,four,sedan,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30,8558,Low,0,1
27,-1,110.0,dodge,std,four,wagon,fwd,front,103.3,0.5,0.8972222222222221,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,9.791666666666666,30,8921,Low,0,1
28,3,145.0,dodge,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.9208333333333333,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,12.368421052631579,24,12964,Low,0,1
29,2,137.0,honda,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.8875,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,4.795918367346939,54,6479,Low,0,1
30,2,137.0,honda,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.8875,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.580645161290323,38,6855,Low,0,1
31,1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.8888888888888888,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,6.184210526315789,42,5399,Low,0,1
32,1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.8888888888888888,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34,6529,Low,0,1
